"","Building","use","SQFT","Elect_kWH","Steam_Mlb","NGas","Oil2","Oil4","Diesel"
"154","Longridge","Base Loads",313882,419859.537741369,0,86684.95,0,0,0
"155","Longridge","Cooling Loads",313882,2160779.57870099,0,2112652.55,0,0,0
"156","Longridge","Heating Loads",313882,2350885.31304857,0,14873366.45,0,0,0
"157","Maple Plaza","Base Loads",289542,165271.737858397,0,67475.25,0,0,0
"158","Maple Plaza","Cooling Loads",289542,1183767.05675834,0,517096.1,0,0,0
"159","Maple Plaza","Heating Loads",289542,882813.736102984,0,452417,0,0,0
"160","Metlife Building","Base Loads",3091809,3535062.37565828,5440.18844221106,619548.15,0,0,0
"161","Metlife Building","Cooling Loads",3091809,19832853.3645407,76433.416080402,2931754.1,0,0,0
"162","Metlife Building","Heating Loads",3091809,22180643.6658865,87746.7923366834,3762981.2,0,0,0
"163","One Bush","Base Loads",451725,336024.414862493,366.725837520938,0,0,0,0
"164","One Bush","Cooling Loads",451725,2267854.812756,1935.80489949749,0,0,0,0
"165","One Bush","Heating Loads",451725,2710352.00409596,3144.60025125628,0,0,0,0
"166","One Channel Center","Base Loads",501650,457668.329432417,0,106790.45,0,0,0
"167","One Channel Center","Cooling Loads",501650,2514863.50204798,0,1227167.4,0,0,0
"168","One Channel Center","Heating Loads",501650,2792738.50204798,0,2418223.25,0,0,0
"169","One Channel Center Parking","Base Loads",342090,20794.836161498,0,0,0,0,0
"170","One Channel Center Parking","Cooling Loads",342090,131369.938560562,0,0,0,0,0
"171","One Channel Center Parking","Heating Loads",342090,295446.606202458,0,0,0,0,0
"172","One Federal","Base Loads",1118355,1627388.32650673,373.419346733668,0,0,0,0
"173","One Federal","Cooling Loads",1118355,8476308.87946167,7370.53760469012,0,0,0,0
"174","One Federal","Heating Loads",1118355,9354874.21006436,28811.2032663317,0,0,0,0
"175","Reston Crossing I","Base Loads",160938,216239.745465184,0,8478.5,0,0,0
"176","Reston Crossing I","Cooling Loads",160938,1353594.14862493,0,62287.3,0,0,0
"177","Reston Crossing I","Heating Loads",160938,1204744.03159743,0,201880.75,0,0,0
"178","Reston Crossing II","Base Loads",187255,181431.451141018,0,31156.6,0,0,0
"179","Reston Crossing II","Cooling Loads",187255,982181.846108835,0,218272.85,0,0,0
"180","Reston Crossing II","Heating Loads",187255,1371639.87712112,0,453693.1,0,0,0
"181","Sunset Tower Parking","Base Loads",110080,8051.03861907548,0,0,0,0,0
"182","Sunset Tower Parking","Cooling Loads",110080,52608.8209479228,0,0,0,0,0
"183","Sunset Tower Parking","Heating Loads",110080,46531.5242832065,0,0,0,0,0
"184","The Franklin","Base Loads",3117492,3139639.59918081,0,76077.9,0,0,0
"185","The Franklin","Cooling Loads",3117492,19247767.3932124,0,359854,0,0,0
"186","The Franklin","Heating Loads",3117492,26938958.0310123,0,462729.9,0,0,0
"187","The JACX","Base Loads",1188749,70044.7630193095,0,210733.2,0,0,0
"188","The JACX","Cooling Loads",1188749,526877.691632534,0,1859577.3,0,0,0
"189","The JACX","Heating Loads",1188749,1098802.26740784,0,7720686.35,0,0,0
"190","Torrey Plaza (A)","Base Loads",60253,13902.4136922177,0,3927.9,0,0,0
"191","Torrey Plaza (A)","Cooling Loads",60253,72681.2024575775,0,31231.65,0,0,0
"192","Torrey Plaza (A)","Heating Loads",60253,80663.7507314219,0,171581.4,0,0,0
"193","Torrey Plaza (B)","Base Loads",89132,38818.7097717964,0,24250,0,0,0
"194","Torrey Plaza (B)","Cooling Loads",89132,491809.172030427,0,21650,0,0,0
"195","Torrey Plaza (B)","Heating Loads",89132,298866.559391457,0,78744,0,0,0
"196","Torrey Plaza (C)","Base Loads",75450,77226.4335868929,0,6600,0,0,0
"197","Torrey Plaza (C)","Cooling Loads",75450,577534.362200117,0,5981,0,0,0
"198","Torrey Plaza (C)","Heating Loads",75450,476861.029842013,0,35851.5,0,0,0
