,Building,use,Elect_kWH,Steam_Mlb,Elect,NGas,Steam,Oil2,Oil4,Diesel,Total,Asset.Type,SQFT,CITY,...5
62,175 Varick,Base Loads,110599.2539,0,378028.25,52.2,0,0,0,0,378080.45,office,176119,New York,NA
63,175 Varick,Cooling Loads,771478.9643,0,2636915.1,112.8,0,0,365365,0,3002392.9,office,176119,New York,NA
64,175 Varick,Heating Loads,766960.196,0,2621469.95,891.7,0,0,5930009.1,0,8552370.75,office,176119,New York,NA
65,1775 Penn Ave. ,Base Loads,212508.9087,0,726355.45,0,0,0,0,0,726355.45,NA,NA,NA,NA
66,1775 Penn Ave. ,Cooling Loads,1244991.881,0,4255382.25,0,0,0,0,0,4255382.25,NA,NA,NA,NA
67,1775 Penn Ave. ,Heating Loads,1437836.644,0,4914525.65,0,0,0,0,0,4914525.65,NA,NA,NA,NA
68,1919 Penn Ave.,Base Loads,338211.9661,0,1156008.5,8250.8,0,0,0,0,1164259.3,office,290069,"Washington, D.C.",NA
69,1919 Penn Ave.,Cooling Loads,1815694.163,0,6206042.65,94781.15,0,0,0,0,6300823.8,office,290069,"Washington, D.C.",NA
70,1919 Penn Ave.,Heating Loads,2060313.707,0,7042152.25,1989862.25,0,0,0,0,9032014.5,office,290069,"Washington, D.C.",NA
71,2000 K,Base Loads,197488.6776,0,675016.3,19452.8,0,0,0,0,694469.1,office,234278,"Washington, D.C.",NA
72,2000 K,Cooling Loads,1028219.032,0,3514452.65,81534.6,0,0,0,0,3595987.25,office,234278,"Washington, D.C.",NA
73,2000 K,Heating Loads,1420684.655,0,4855900.15,681855.55,0,0,0,0,5537755.7,office,234278,"Washington, D.C.",NA
74,2050 M Street,Base Loads,0,0,0,0,0,0,0,0,0,office,340507,"Washington, D.C.",NA
75,2050 M Street,Heating Loads,101684.0404,0,347556.05,0,0,0,0,0,347556.05,office,340507,"Washington, D.C.",NA
76,222 N LaSalle,Base Loads,1049324.605,0,3586591.5,0,0,0,0,0,3586591.5,office,1018838,Chicago,NA
77,222 N LaSalle,Cooling Loads,7263119.046,0,24825340.9,0,0,40020,0,0,24865360.9,office,1018838,Chicago,NA
78,222 N LaSalle,Heating Loads,7978765.813,0,27271421.55,0,0,0,0,0,27271421.55,office,1018838,Chicago,NA
79,222 Second Street,Base Loads,432679.8566,0,1478899.75,91363.3,0,0,0,0,1570263.05,office,453000,San Francisco,NA
80,222 Second Street,Cooling Loads,2287070.582,0,7817207.25,459376.05,0,0,0,0,8276583.3,office,453000,San Francisco,NA
81,222 Second Street,Heating Loads,2612055.954,0,8928007.25,1631049,0,0,0,0,10559056.25,office,453000,San Francisco,NA
82,28-10 Jackson Ave,Base Loads,376786.5126,0,1287856.3,347744.65,0,0,0,0,1635600.95,office,595200,New York,NA
83,28-10 Jackson Ave,Cooling Loads,1957629.389,0,6691177.25,2404017.15,0,0,0,0,9095194.4,office,595200,New York,NA
84,28-10 Jackson Ave,Heating Loads,1984301.009,0,6782340.85,7201118.3,0,0,0,0,13983459.15,office,595200,New York,NA
85,28-30 Jackson Ave,Base Loads,294501.0094,0,1006604.45,647595.4,0,0,0,0,1654199.85,office,659780,New York,NA
86,28-30 Jackson Ave,Cooling Loads,2159699.254,0,7381852.05,2166034.25,0,0,0,0,9547886.3,office,659780,New York,NA
87,28-30 Jackson Ave,Heating Loads,2043470.933,0,6984583.65,7306491.1,0,0,0,0,14291074.75,office,659780,New York,NA
88,28-40 Jackson Ave,Base Loads,358134.9327,0,1224105.2,337456.75,0,0,0,0,1561561.95,office,540627,New York,NA
89,28-40 Jackson Ave,Cooling Loads,1886442.715,0,6447861.2,2367904.2,0,0,0,0,8815765.4,office,540627,New York,NA
90,28-40 Jackson Ave,Heating Loads,1939923.581,0,6630658.8,7122089.05,0,0,0,0,13752747.85,office,540627,New York,NA
91,300 Park,Base Loads,776022.718,507.4783501,2652445.65,220279.4,605929.15,0,0,0,3478654.2,office,777658,New York,NA
92,300 Park,Cooling Loads,5389361.63,5303.965955,18420838.05,1325851.2,6332935.35,0,0,0,26079624.6,office,777658,New York,NA
93,300 Park,Heating Loads,4087698.201,4567.303769,13971752.45,983852.7,5453360.7,0,0,0,20408965.85,office,777658,New York,NA
94,333 Bush,Base Loads,388082.7238,0,1326466.75,479850.65,0,0,0,0,1806317.4,office,597694,San Francisco,NA
95,333 Bush,Cooling Loads,1936477.458,0,6618879.95,3436844.5,0,0,0,0,10055724.45,office,597694,San Francisco,NA
96,333 Bush,Heating Loads,2257771.913,0,7717064.4,4966557.3,0,0,0,0,12683621.7,office,597694,San Francisco,NA
97,400 Castro,Base Loads,229273.6981,0,783657.5,167350.2,0,0,0,0,951007.7,office,138762,San Francisco,NA
98,400 Castro,Cooling Loads,1171587.449,0,4004485.9,986693.2,0,0,0,0,4991179.1,office,138762,San Francisco,NA
99,400 Castro,Heating Loads,1265914.394,0,4326895.4,2243055.65,0,0,0,0,6569951.05,office,138762,San Francisco,NA
100,407 N Maple,Base Loads,105437.3903,0,360385,112676.1,0,0,0,0,473061.1,office,163811,Los Angeles,NA
101,407 N Maple,Cooling Loads,944074.2393,0,3226845.75,161895.2,0,0,0,0,3388740.95,office,163811,Los Angeles,NA
102,407 N Maple,Heating Loads,660156.6413,0,2256415.4,503211.1,0,0,0,0,2759626.5,office,163811,Los Angeles,NA
103,520 Madison,Base Loads,1660463.487,449.364866,5675464.2,306018.35,536541.65,0,0,0,6518024.2,office,1049000,New York,NA
104,520 Madison,Cooling Loads,8301194.544,4023.023451,28373482.95,1543515.15,4803490,0,0,0,34720488.1,office,1049000,New York,NA
105,520 Madison,Heating Loads,8352222.367,21180.65172,28547896.05,2075379.7,25289698.15,0,0,0,55912973.9,office,1049000,New York,NA
106,520 Pike Tower,Base Loads,423243.9585,0,1446647.85,0,0,0,0,0,1446647.85,office,425829,Seattle,NA
